Semana,Serie 1,Serie 2,Fondo,Domingo Fondo en entreno
Del 24 al 28 de Agosto - Semana de fondo,500 L,600 (200L-100L pb),Sesión técnica,Cada persona hará lo que mejor
,3x100 tec-nad VE,2x200 (50pat flecha-50L nad) patas,,le convenga dependiendo
,,8x15 vel VE,600L,del evento de fondo más
,6x50 (25 pat max vel - 25 suave) 20sp,,,cercano.
,3 sin patas - 3 con patas,Serie x4,3x200:,
,4x50 prog opt,200 L patas,"100 téc a elección - 100L aplicando",Praticar el desayuno de la
,,100 L,lo practicado en la técnica,"compe, traer geles o lo que"
,"10x200, 20 o 30 sp",4x25 vel 10sp,,acostumbren usar
,1-3-5: Manoplas y patas suave enofque en técnica,100 suave,3x100 (25 pat flecha - 75L nad) patas,
,2-4-6-8 L,----------------------------------------,,Este día no necesitaremos
,7-9: 25 est-75L,100 afloje,8x100 L VL BL enfoque en la téc,material extra
,10 L,,4 sin patas,
,,,4 con patas,
,100 alfoje,,,
,,,4x100 L:,
,,,Mayor vel sin perder técnica y,
,,,respiración controlada,
,,,,
,,,200 pb,
,,,100 alfoje,
,,,,
,,,* para los 100s buscar disminuir,
,,,promedio de brazada por 25 al,
,,,menos por 1 o 2 brazadas,
